district_name,imd_rainfall_mm,date
Bagalkot,0.33097028732299805,2015-01-01
Ballari,0.0591870367527008,2015-01-01
Belagavi,0.314823840470875,2015-01-01
Bengaluru (Rural),3.353428681691488,2015-01-01
Bengaluru (Urban),14.82455849647522,2015-01-01
Bidar,0.0,2015-01-01
Chamarajanagara,6.439866542816162,2015-01-01
Chikkaballapura,2.4054221510887146,2015-01-01
Chikkamagaluru,0.14537285566329955,2015-01-01
Chitradurga,0.7522384524345398,2015-01-01
Dakshina Kannada,0.0,2015-01-01
Davanagere,0.08700554569562276,2015-01-01
Dharwad,0.03908247500658035,2015-01-01
Gadag,0.29865774884819984,2015-01-01
Hassan,0.0,2015-01-01
Haveri,0.0,2015-01-01
Kalburgi,0.019286402066548667,2015-01-01
Kodagu,0.0,2015-01-01
Kolara,0.6892292499542236,2015-01-01
Koppal,0.4076487757265568,2015-01-01
Mandya,0.5501865744590759,2015-01-01
Mysuru,0.0,2015-01-01
Raichur,0.022708453238010406,2015-01-01
Ramanagara,2.852405220270157,2015-01-01
Shivamogga,0.4651682376861572,2015-01-01
Tumakuru,0.3720293839772542,2015-01-01
Udupi,0.48820230960845945,2015-01-01
Uttara Kannada,0.12280415113155659,2015-01-01
Vijayanagara,0.019770820225988115,2015-01-01
Vijayapura,1.0255238945995058,2015-01-01
Yadgir,0.0,2015-01-01
Bagalkot,0.0,2015-01-02
Ballari,0.18510374426841736,2015-01-02
Belagavi,0.12318040167584139,2015-01-02
Bengaluru (Rural),2.3021567861239114,2015-01-02
Bengaluru (Urban),0.5350390672683716,2015-01-02
Bidar,7.6357517507341175,2015-01-02
Chamarajanagara,0.0,2015-01-02
Chikkaballapura,2.8977615594863892,2015-01-02
Chikkamagaluru,0.0,2015-01-02
Chitradurga,0.12069071422923695,2015-01-02
Dakshina Kannada,0.28471027101789204,2015-01-02
Davanagere,0.0,2015-01-02
Dharwad,0.0,2015-01-02
Gadag,0.0,2015-01-02
Hassan,0.0,2015-01-02
Haveri,0.0,2015-01-02
Kalburgi,5.2519846200943,2015-01-02
Kodagu,0.11338256299495697,2015-01-02
Kolara,1.0504015386104584,2015-01-02
Koppal,0.20729246735572815,2015-01-02
Mandya,0.0,2015-01-02
Mysuru,0.0,2015-01-02
Raichur,2.205610347290834,2015-01-02
Ramanagara,0.05582726001739502,2015-01-02
Shivamogga,0.0,2015-01-02
Tumakuru,0.06309269865353902,2015-01-02
Udupi,0.0,2015-01-02
Uttara Kannada,0.8543065774899262,2015-01-02
Vijayanagara,0.27539639813559397,2015-01-02
Vijayapura,0.5249987649066108,2015-01-02
Yadgir,2.4788231601317725,2015-01-02
Bagalkot,0.0,2015-01-03
Ballari,0.06954677700996399,2015-01-03
Belagavi,0.0,2015-01-03
Bengaluru (Rural),0.0,2015-01-03
Bengaluru (Urban),0.0,2015-01-03
Bidar,3.201154248581992,2015-01-03
Chamarajanagara,0.0,2015-01-03
Chikkaballapura,0.0,2015-01-03
Chikkamagaluru,0.0,2015-01-03
Chitradurga,0.0,2015-01-03
Dakshina Kannada,0.0,2015-01-03
Davanagere,0.0,2015-01-03
Dharwad,0.0,2015-01-03
Gadag,0.0,2015-01-03
Hassan,0.0,2015-01-03
Haveri,0.0,2015-01-03
Kalburgi,2.500710692008336,2015-01-03
Kodagu,0.0,2015-01-03
Kolara,0.0,2015-01-03
Koppal,0.0,2015-01-03
Mandya,0.9480320662260056,2015-01-03
Mysuru,0.0,2015-01-03
Raichur,1.447244015832742,2015-01-03
Ramanagara,0.0,2015-01-03
Shivamogga,0.0,2015-01-03
Tumakuru,0.08612767855326335,2015-01-03
Udupi,0.7289776980876923,2015-01-03
Uttara Kannada,0.017167091369628906,2015-01-03
Vijayanagara,0.0,2015-01-03
Vijayapura,0.0,2015-01-03
Yadgir,7.457721178730329,2015-01-03
Bagalkot,0.0,2015-01-04
Ballari,0.0,2015-01-04
Belagavi,0.0,2015-01-04
Bengaluru (Rural),0.0,2015-01-04
Bengaluru (Urban),0.0,2015-01-04
Bidar,2.7543019188774958,2015-01-04
Chamarajanagara,0.0,2015-01-04
Chikkaballapura,0.0,2015-01-04
Chikkamagaluru,0.0,2015-01-04
Chitradurga,0.0,2015-01-04
Dakshina Kannada,0.0,2015-01-04
Davanagere,0.0,2015-01-04
Dharwad,0.0,2015-01-04
Gadag,0.0,2015-01-04
Hassan,0.0,2015-01-04
Haveri,0.0,2015-01-04
Kalburgi,0.0,2015-01-04
Kodagu,0.0,2015-01-04
Kolara,0.0,2015-01-04
Koppal,0.0,2015-01-04
Mandya,0.0,2015-01-04
Mysuru,0.0,2015-01-04
Raichur,0.0,2015-01-04
Ramanagara,0.0,2015-01-04
Shivamogga,0.0,2015-01-04
Tumakuru,0.0,2015-01-04
Udupi,0.0,2015-01-04
Uttara Kannada,0.0,2015-01-04
Vijayanagara,0.0,2015-01-04
Vijayapura,0.0,2015-01-04
Yadgir,0.0,2015-01-04
Bagalkot,0.0,2015-01-05
Ballari,0.0,2015-01-05
Belagavi,0.0,2015-01-05
Bengaluru (Rural),0.0,2015-01-05
Bengaluru (Urban),0.0,2015-01-05
Bidar,0.0,2015-01-05
Chamarajanagara,0.0,2015-01-05
Chikkaballapura,0.0,2015-01-05
Chikkamagaluru,0.0,2015-01-05
Chitradurga,0.0,2015-01-05
Dakshina Kannada,0.0,2015-01-05
Davanagere,0.0,2015-01-05
Dharwad,0.0,2015-01-05
Gadag,0.0,2015-01-05
Hassan,0.0,2015-01-05
Haveri,0.0,2015-01-05
Kalburgi,0.0,2015-01-05
Kodagu,0.0,2015-01-05
Kolara,0.0,2015-01-05
Koppal,0.0,2015-01-05
Mandya,0.0,2015-01-05
Mysuru,0.0,2015-01-05
Raichur,0.0,2015-01-05
Ramanagara,0.0,2015-01-05
Shivamogga,0.0,2015-01-05
Tumakuru,0.0,2015-01-05
Udupi,0.0,2015-01-05
Uttara Kannada,0.0,2015-01-05
Vijayanagara,0.0,2015-01-05
Vijayapura,0.0,2015-01-05
Yadgir,0.0,2015-01-05
Bagalkot,0.0,2015-01-06
Ballari,0.0,2015-01-06
Belagavi,0.0,2015-01-06
Bengaluru (Rural),0.0,2015-01-06
Bengaluru (Urban),0.0,2015-01-06
Bidar,0.0,2015-01-06
Chamarajanagara,0.0,2015-01-06
Chikkaballapura,0.0,2015-01-06
Chikkamagaluru,0.0,2015-01-06
Chitradurga,0.0,2015-01-06
Dakshina Kannada,0.0,2015-01-06
Davanagere,0.0,2015-01-06
Dharwad,0.0,2015-01-06
Gadag,0.0,2015-01-06
Hassan,0.0,2015-01-06
Haveri,0.0,2015-01-06
Kalburgi,0.0,2015-01-06
Kodagu,0.0,2015-01-06
Kolara,0.0,2015-01-06
Koppal,0.0,2015-01-06
Mandya,0.0,2015-01-06
Mysuru,0.0,2015-01-06
Raichur,0.0,2015-01-06
Ramanagara,0.0,2015-01-06
Shivamogga,0.0,2015-01-06
Tumakuru,0.0,2015-01-06
Udupi,0.0,2015-01-06
Uttara Kannada,0.0,2015-01-06
Vijayanagara,0.0,2015-01-06
Vijayapura,0.0,2015-01-06
Yadgir,0.0,2015-01-06
Bagalkot,0.0,2015-01-07
Ballari,0.0,2015-01-07
Belagavi,0.0,2015-01-07
Bengaluru (Rural),0.0,2015-01-07
Bengaluru (Urban),0.0,2015-01-07
Bidar,0.0,2015-01-07
Chamarajanagara,0.0,2015-01-07
Chikkaballapura,0.0,2015-01-07
Chikkamagaluru,0.0,2015-01-07
Chitradurga,0.0,2015-01-07
Dakshina Kannada,0.0,2015-01-07
Davanagere,0.0,2015-01-07
Dharwad,0.0,2015-01-07
Gadag,0.0,2015-01-07
Hassan,0.0,2015-01-07
Haveri,0.0,2015-01-07
Kalburgi,0.0,2015-01-07
Kodagu,0.0,2015-01-07
Kolara,0.0,2015-01-07
Koppal,0.0,2015-01-07
Mandya,0.0,2015-01-07
Mysuru,0.0,2015-01-07
Raichur,0.0,2015-01-07
Ramanagara,0.0,2015-01-07
Shivamogga,0.0,2015-01-07
Tumakuru,0.0,2015-01-07
Udupi,0.0,2015-01-07
Uttara Kannada,0.0,2015-01-07
Vijayanagara,0.0,2015-01-07
Vijayapura,0.0,2015-01-07
Yadgir,0.0,2015-01-07
Bagalkot,0.0,2015-01-08
Ballari,0.0,2015-01-08
Belagavi,0.0,2015-01-08
Bengaluru (Rural),0.0,2015-01-08
Bengaluru (Urban),0.0,2015-01-08
Bidar,0.0,2015-01-08
Chamarajanagara,0.0,2015-01-08
Chikkaballapura,0.0,2015-01-08
Chikkamagaluru,0.0,2015-01-08
Chitradurga,0.0,2015-01-08
Dakshina Kannada,0.0,2015-01-08
Davanagere,0.0,2015-01-08
Dharwad,0.0,2015-01-08
Gadag,0.0,2015-01-08
Hassan,0.0,2015-01-08
Haveri,0.0,2015-01-08
Kalburgi,0.0,2015-01-08
Kodagu,0.0,2015-01-08
Kolara,0.0,2015-01-08
Koppal,0.0,2015-01-08
Mandya,0.0,2015-01-08
Mysuru,0.0,2015-01-08
Raichur,0.0,2015-01-08
Ramanagara,0.0,2015-01-08
Shivamogga,0.0,2015-01-08
Tumakuru,0.0,2015-01-08
Udupi,0.0,2015-01-08
Uttara Kannada,0.0,2015-01-08
Vijayanagara,0.0,2015-01-08
Vijayapura,0.0,2015-01-08
Yadgir,0.0,2015-01-08
Bagalkot,0.0,2015-01-09
Ballari,0.0,2015-01-09
Belagavi,0.0,2015-01-09
Bengaluru (Rural),0.0,2015-01-09
Bengaluru (Urban),0.0,2015-01-09
Bidar,0.0,2015-01-09
Chamarajanagara,0.0,2015-01-09
Chikkaballapura,0.0,2015-01-09
Chikkamagaluru,0.0,2015-01-09
Chitradurga,0.0,2015-01-09
Dakshina Kannada,0.0,2015-01-09
Davanagere,0.0,2015-01-09
Dharwad,0.0,2015-01-09
Gadag,0.0,2015-01-09
Hassan,0.0,2015-01-09
Haveri,0.0,2015-01-09
Kalburgi,0.0,2015-01-09
Kodagu,0.0,2015-01-09
Kolara,0.0,2015-01-09
Koppal,0.0,2015-01-09
Mandya,0.0,2015-01-09
Mysuru,0.0,2015-01-09
Raichur,0.0,2015-01-09
Ramanagara,0.0,2015-01-09
Shivamogga,0.0,2015-01-09
Tumakuru,0.0,2015-01-09
Udupi,0.0,2015-01-09
Uttara Kannada,0.0,2015-01-09
Vijayanagara,0.0,2015-01-09
Vijayapura,0.0,2015-01-09
Yadgir,0.0,2015-01-09
Bagalkot,0.0,2015-01-10
Ballari,0.0,2015-01-10
Belagavi,0.0,2015-01-10
Bengaluru (Rural),0.0,2015-01-10
Bengaluru (Urban),0.0,2015-01-10
Bidar,0.0,2015-01-10
Chamarajanagara,0.0,2015-01-10
Chikkaballapura,0.0,2015-01-10
Chikkamagaluru,0.0,2015-01-10
Chitradurga,0.0,2015-01-10
Dakshina Kannada,0.0,2015-01-10
Davanagere,0.0,2015-01-10
Dharwad,0.0,2015-01-10
Gadag,0.0,2015-01-10
Hassan,0.0,2015-01-10
Haveri,0.0,2015-01-10
Kalburgi,0.0,2015-01-10
Kodagu,0.0,2015-01-10
Kolara,0.0,2015-01-10
Koppal,0.0,2015-01-10
Mandya,0.0,2015-01-10
Mysuru,0.0,2015-01-10
Raichur,0.0,2015-01-10
Ramanagara,0.0,2015-01-10
Shivamogga,0.0,2015-01-10
Tumakuru,0.0,2015-01-10
Udupi,0.0,2015-01-10
Uttara Kannada,0.0,2015-01-10
Vijayanagara,0.0,2015-01-10
Vijayapura,0.0,2015-01-10
Yadgir,0.0,2015-01-10
Bagalkot,0.0,2015-01-11
Ballari,0.0,2015-01-11
Belagavi,0.0,2015-01-11
Bengaluru (Rural),0.0,2015-01-11
Bengaluru (Urban),0.0,2015-01-11
Bidar,0.0,2015-01-11
Chamarajanagara,0.0,2015-01-11
Chikkaballapura,0.0,2015-01-11
Chikkamagaluru,0.0,2015-01-11
Chitradurga,0.0,2015-01-11
Dakshina Kannada,0.0,2015-01-11
Davanagere,0.0,2015-01-11
Dharwad,0.0,2015-01-11
Gadag,0.0,2015-01-11
Hassan,0.0,2015-01-11
Haveri,0.0,2015-01-11
Kalburgi,0.0,2015-01-11
Kodagu,0.0,2015-01-11
Kolara,0.0,2015-01-11
Koppal,0.0,2015-01-11
Mandya,0.0,2015-01-11
Mysuru,0.0,2015-01-11
Raichur,0.0,2015-01-11
Ramanagara,0.0,2015-01-11
Shivamogga,0.0,2015-01-11
Tumakuru,0.0,2015-01-11
Udupi,0.0,2015-01-11
Uttara Kannada,0.0,2015-01-11
Vijayanagara,0.0,2015-01-11
Vijayapura,0.0,2015-01-11
Yadgir,0.0,2015-01-11
Bagalkot,0.0,2015-01-12
Ballari,0.0,2015-01-12
Belagavi,0.0,2015-01-12
Bengaluru (Rural),0.0,2015-01-12
Bengaluru (Urban),0.0,2015-01-12
Bidar,0.0,2015-01-12
Chamarajanagara,0.0,2015-01-12
Chikkaballapura,0.0,2015-01-12
Chikkamagaluru,0.0,2015-01-12
Chitradurga,0.0,2015-01-12
