district,week_start,week_end_sunday,iso_year,iso_week,imd_rain_mm,week_start_imd,nasa_prectotcorr,T2M_MAX,T2M_MIN,T2M,RH2M
Bagalkot,2015-01-05,2015-01-11,2015,2,0.0,2015-01-12,0.93,30.492,16.904,23.05,61.10799999999999
Bagalkot,2015-01-12,2015-01-18,2015,3,0.0,2015-01-19,0.0,30.52857142857143,12.665714285714284,20.824285714285715,31.917142857142856
Bagalkot,2015-01-19,2015-01-25,2015,4,0.0,2015-01-26,0.0,31.01142857142857,12.524285714285714,21.19,37.6
Bagalkot,2015-01-26,2015-02-01,2015,5,0.0,2015-02-02,0.0,31.172857142857143,15.518571428571429,22.98428571428571,43.85428571428572
Bagalkot,2015-02-02,2015-02-08,2015,6,0.0,2015-02-09,0.0,32.34142857142857,15.588571428571427,23.43,42.54285714285714
Bagalkot,2015-02-09,2015-02-15,2015,7,0.0,2015-02-16,0.0,32.215714285714284,15.684285714285716,23.312857142857144,37.08
Bagalkot,2015-02-16,2015-02-22,2015,8,0.0,2015-02-23,0.0,34.15714285714286,16.562857142857144,24.83,30.82
Bagalkot,2015-02-23,2015-03-01,2015,9,1.2901072170999317,2015-03-02,0.0,35.21714285714286,16.830000000000002,25.685714285714287,31.02285714285714
Bagalkot,2015-03-02,2015-03-08,2015,10,2.072422683238983,2015-03-09,7.04,33.68857142857143,17.138571428571428,25.072857142857146,43.72428571428571
Bagalkot,2015-03-09,2015-03-15,2015,11,4.676823645830154,2015-03-16,12.35,34.00714285714286,17.97,25.62,49.68285714285714
Bagalkot,2015-03-16,2015-03-22,2015,12,0.2967788411511315,2015-03-23,0.32,34.722857142857144,19.464285714285715,26.715714285714284,48.041428571428575
Bagalkot,2015-03-23,2015-03-29,2015,13,0.0,2015-03-30,0.03,37.642857142857146,21.67142857142857,29.52857142857143,30.005714285714287
Bagalkot,2015-03-30,2015-04-05,2015,14,0.7783259914980994,2015-04-06,1.12,37.68,23.285714285714285,30.267142857142854,31.304285714285715
Bagalkot,2015-04-06,2015-04-12,2015,15,22.0617886086305,2015-04-13,0.89,38.76428571428572,22.367142857142856,30.63,33.44571428571429
Bagalkot,2015-04-13,2015-04-19,2015,16,23.662416021029152,2015-04-20,15.76,35.76714285714286,23.0,29.15571428571429,47.67285714285715
Bagalkot,2015-04-20,2015-04-26,2015,17,4.787425698505508,2015-04-27,0.13,36.76142857142857,21.63142857142857,29.212857142857143,43.88
Bagalkot,2015-04-27,2015-05-03,2015,18,1.249994663728608,2015-05-04,13.08,38.527142857142856,23.305714285714284,30.827142857142857,44.05142857142857
Bagalkot,2015-05-04,2015-05-10,2015,19,3.8779354757732816,2015-05-11,1.94,40.71571428571429,23.875714285714285,32.18,38.785714285714285
Bagalkot,2015-05-11,2015-05-17,2015,20,9.74102431204584,2015-05-18,9.93,37.87428571428571,25.141428571428573,31.164285714285715,47.862857142857145
Bagalkot,2015-05-18,2015-05-24,2015,21,4.441188206275305,2015-05-25,14.0,35.527142857142856,24.285714285714285,29.415714285714284,58.01714285714286
Bagalkot,2015-05-25,2015-05-31,2015,22,24.3382532182667,2015-06-01,0.02,38.79714285714285,24.321428571428573,30.73428571428571,53.71571428571429
Bagalkot,2015-06-01,2015-06-07,2015,23,23.74440586566925,2015-06-08,26.94,37.08714285714286,24.67142857142857,30.318571428571428,55.705714285714286
Bagalkot,2015-06-08,2015-06-14,2015,24,11.642735943198204,2015-06-15,14.4,34.05571428571428,23.115714285714287,28.08285714285714,66.20857142857143
Bagalkot,2015-06-15,2015-06-21,2015,25,5.924004742668735,2015-06-22,8.29,32.13285714285714,22.267142857142854,26.33714285714285,70.54285714285714
Bagalkot,2015-06-22,2015-06-28,2015,26,12.790990937915112,2015-06-29,22.99,29.575714285714287,21.927142857142854,24.91,74.83142857142857
Bagalkot,2015-06-29,2015-07-05,2015,27,3.3543803435232906,2015-07-06,8.41,33.06285714285714,22.98428571428571,27.015714285714285,71.32285714285715
Bagalkot,2015-07-06,2015-07-12,2015,28,1.0972366846270032,2015-07-13,7.62,34.097142857142856,22.414285714285715,27.23,68.22857142857143
Bagalkot,2015-07-13,2015-07-19,2015,29,9.034662526514795,2015-07-20,3.38,33.142857142857146,22.677142857142854,26.99,69.03999999999999
Bagalkot,2015-07-20,2015-07-26,2015,30,3.077306111653645,2015-07-27,5.93,32.962857142857146,23.072857142857146,27.048571428571428,68.67571428571429
Bagalkot,2015-07-27,2015-08-02,2015,31,11.312141161825922,2015-08-03,4.87,31.85142857142857,22.33857142857143,26.231428571428573,70.50285714285714
Bagalkot,2015-08-03,2015-08-09,2015,32,9.403625463445982,2015-08-10,5.7700000000000005,33.27285714285714,21.74571428571429,26.604285714285712,67.24714285714286
Bagalkot,2015-08-10,2015-08-16,2015,33,7.206231095724634,2015-08-17,8.78,32.06857142857143,22.42,26.312857142857144,70.95
Bagalkot,2015-08-17,2015-08-23,2015,34,11.998098994294804,2015-08-24,33.69,32.36142857142857,22.05857142857143,26.237142857142857,72.65428571428572
Bagalkot,2015-08-24,2015-08-30,2015,35,10.411469546457132,2015-08-31,46.22,30.645714285714288,22.08285714285714,25.624285714285715,77.60857142857142
Bagalkot,2015-08-31,2015-09-06,2015,36,11.69546050992277,2015-09-07,53.81,31.77285714285714,21.388571428571428,25.592857142857145,75.78
Bagalkot,2015-09-07,2015-09-13,2015,37,121.23190707630582,2015-09-14,28.45,31.417142857142856,21.31571428571429,25.70285714285714,74.90714285714286
Bagalkot,2015-09-14,2015-09-20,2015,38,69.28550956563816,2015-09-21,31.18,29.36428571428571,21.104285714285712,24.49285714285714,81.22571428571429
Bagalkot,2015-09-21,2015-09-27,2015,39,3.8209307259983487,2015-09-28,16.32,29.79142857142857,21.59714285714286,24.92142857142857,80.28571428571429
Bagalkot,2015-09-28,2015-10-04,2015,40,26.0056781321764,2015-10-05,2.08,32.271428571428565,21.62,26.325714285714287,73.05
Bagalkot,2015-10-05,2015-10-11,2015,41,38.71929761932956,2015-10-12,32.370000000000005,30.884285714285717,21.382857142857144,25.40714285714285,77.52714285714286
Bagalkot,2015-10-12,2015-10-18,2015,42,0.9024344484011332,2015-10-19,11.63,31.497142857142855,21.384285714285717,25.72571428571429,73.89999999999999
Bagalkot,2015-10-19,2015-10-25,2015,43,0.0,2015-10-26,0.0,33.55714285714286,20.69142857142857,26.56714285714286,62.08857142857143
Bagalkot,2015-10-26,2015-11-01,2015,44,0.0,2015-11-02,0.0,33.34571428571429,19.29142857142857,25.735714285714288,59.69857142857143
Bagalkot,2015-11-02,2015-11-08,2015,45,0.0,2015-11-09,0.6200000000000001,32.431428571428576,20.298571428571428,25.785714285714285,65.2642857142857
Bagalkot,2015-11-09,2015-11-15,2015,46,0.0,2015-11-16,1.16,32.825714285714284,20.292857142857144,26.135714285714283,59.955714285714286
Bagalkot,2015-11-16,2015-11-22,2015,47,6.482288714912203,2015-11-23,0.44,32.71857142857143,18.91714285714286,25.02,52.41428571428571
Bagalkot,2015-11-23,2015-11-29,2015,48,0.1122873491711086,2015-11-30,7.6,32.44714285714286,20.095714285714287,25.485714285714288,65.07142857142857
Bagalkot,2015-11-30,2015-12-06,2015,49,0.055620080894894,2015-12-07,0.13,32.417142857142856,18.28,24.69,58.41571428571428
Bagalkot,2015-12-07,2015-12-13,2015,50,0.0,2015-12-14,0.18,32.41857142857143,18.458571428571428,24.62,57.31285714285714
