State_Name,District_Name,crop_yield_tons,Area,Population,Demand,Surplus,Surplus_tons,Deficit_tons,Cluster,lat,lon
ANDAMAN AND NICOBAR,NICOBAR ISLANDS,500705457.25,151982.66,2719110,1359555.0,499345902.25,499345902.25,0.0,1,18.861663446573512,85.0183924226055
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,77415833.44,74509.95,2729084,1364542.0,76051291.44,76051291.44,0.0,1,35.57071488588757,89.61774475134557
ANDAMAN AND NICOBAR,SOUTH ANDAMAN,140101949.3,111403.46,2856330,1428165.0,138673784.3,138673784.3,0.0,1,29.227824312530746,80.5181268406607
Andhra Pradesh,ANANTAPUR,81501589.0,18473186.0,2192743,1096371.5,80405217.5,80405217.5,0.0,1,25.361096041714063,71.69982878107135
Andhra Pradesh,CHITTOOR,374136565.0,6105207.0,610268,305134.0,373831431.0,373831431.0,0.0,0,12.52454057283066,76.229501268163
Andhra Pradesh,EAST GODAVARI,8271057200.0,11598837.0,1232180,616090.0,8270441110.0,8270441110.0,0.0,2,12.523841089749876,78.52938659556042
Andhra Pradesh,GUNTUR,84795910.0,13744686.0,2734489,1367244.5,83428665.5,83428665.5,0.0,1,9.684424752877785,86.73159999861643
Andhra Pradesh,KRISHNA,369427800.0,11136420.0,2070006,1035003.0,368392797.0,368392797.0,0.0,2,33.11910822747312,84.55257083539844
Andhra Pradesh,KURNOOL,34949615.0,16968569.0,2503274,1251637.0,33697978.0,33697978.0,0.0,1,25.432335340553056,78.32680505103754
Andhra Pradesh,NELLORE,131423430.0,6201016.0,1636074,818037.0,130605393.0,130605393.0,0.0,2,28.53410475608532,96.6089422149964
Andhra Pradesh,PRAKASAM,37707602.0,9616506.0,2772355,1386177.5,36321424.5,36321424.5,0.0,1,8.59695033457827,85.56746976134973
Andhra Pradesh,SRIKAKULAM,2141620578.0,7108032.0,1739911,869955.5,2140750622.5,2140750622.5,0.0,2,36.12738571269784,74.87957696034384
Andhra Pradesh,VISAKHAPATNAM,1010411519.0,5647289.0,778167,389083.5,1010022435.5,1010022435.5,0.0,0,32.140836583212234,70.9516917059917
Andhra Pradesh,VIZIANAGARAM,474169560.0,6517408.0,2638242,1319121.0,472850439.0,472850439.0,0.0,1,14.157834209670009,72.43291503634563
Andhra Pradesh,WEST GODAVARI,4287726694.0,11207955.0,829365,414682.5,4287312011.5,4287312011.5,0.0,0,13.272924049005919,75.13277412315074
Andhra Pradesh,Y.S.R.,25662234.0,7220733.0,1287201,643600.5,25018633.5,25018633.5,0.0,2,13.31873078574958,72.65975982452711
Arunachal Pradesh,ANJAW,110806.33,94807.0,1870455,935227.5,-824421.17,0.0,824421.17,2,16.823025045826594,73.41044369748786
Arunachal Pradesh,CHANGLANG,642663.33,375872.0,2266891,1133445.5,-490782.17,0.0,490782.17,1,23.2179365173349,76.26775989212156
Arunachal Pradesh,DIBANG VALLEY,289128.66,182613.0,827069,413534.5,-124405.84000000004,0.0,124405.84000000004,0,20.526405540621358,73.02783426354789
Arunachal Pradesh,EAST KAMENG,281154.33,243857.0,2325573,1162786.5,-881632.1699999999,0.0,881632.1699999999,1,16.445645065743214,94.00619731416633
Arunachal Pradesh,EAST SIANG,972253.33,457601.0,1291743,645871.5,326381.83,326381.83,0.0,2,25.743733946949003,70.32677862418763
Arunachal Pradesh,KURUNG KUMEY,79234.33,58883.0,603355,301677.5,-222443.17,0.0,222443.17,0,12.045321958909213,83.21083029753738
Arunachal Pradesh,LOHIT,971599.33,590702.0,1762752,881376.0,90223.32999999996,90223.32999999996,0.0,2,16.472194807521326,79.90150798270018
Arunachal Pradesh,LONGDING,20731.0,14682.0,2781931,1390965.5,-1370234.5,0.0,1370234.5,1,18.62449345551706,96.48897989034958
Arunachal Pradesh,LOWER DIBANG VALLEY,688538.66,359833.0,1896025,948012.5,-259473.84,0.0,259473.84,2,21.226029542294043,71.24912816287352
Arunachal Pradesh,LOWER SUBANSIRI,431486.66,307503.0,1970485,985242.5,-553755.8400000001,0.0,553755.8400000001,2,30.770102880397395,79.53781237232651
Arunachal Pradesh,NAMSAI,794.0,119.0,1489436,744718.0,-743924.0,0.0,743924.0,2,13.790539682592431,96.1146425649857
Arunachal Pradesh,PAPUM PARE,468277.66,261285.0,1807371,903685.5,-435407.84,0.0,435407.84,2,22.912798713994736,93.09970665092543
Arunachal Pradesh,TAWANG,205454.33,96207.0,1417040,708520.0,-503065.67,0.0,503065.67,2,25.180022496999232,91.69509005752911
Arunachal Pradesh,TIRAP,231735.33,240498.0,2048762,1024381.0,-792645.67,0.0,792645.67,2,9.347061968879935,75.47918198430325
